"Id"	"Designator"	"Package"	"Quantity"	"Designation"	"Place on Board"	"Manufacturer"	"Manuf. No."	"Supplier"	"Supplier No."
1	"J1"	"USB-MINI-B"	1	"USB-MINI-B"	"Y"	"MOLEX"	"54819-0572"	"Farnell"	"9786473"
2	"U2"	"TQFP44"	1	"ATMEGA32U4"	"Y"	"ATMEL"	"ATMEGA32U4-AU"	"Farnell"	"1748525"
3	"CON1"	"SMT_AVR_ISP_6PIN"	1	"AVR-ISP-6"	"Y"	"FISCHER ELEKTRONIK "	" SL11 SMD 062.40S"	"Farnell"	"9729046"
4	"R1"	"SM0805"	1	"10k"	"Y"	"BOURNS"	"CR0805-JW-103ELF"	"Farnell"	"2008390"
5	"R2,R3"	"SM0805"	2	"22R"	"Y"	"YAGEO (PHYCOMP)"	"RE0805DR-0722RL"	"Farnell"	"1840604"
6	"R4,R5"	"SM0805"	2	"2k"	"Y"	"MULTICOMP"	"MCMR08X202 JT"	"Farnell"	"2073685"
7	"R6,R7,R8,R9,R10,R11,R12,R13,R14,R15"	"SM0805"	10	"1k"	"Y"	"MULTICOMP"	"MCSR08X102 JTL"	"Farnell"	"2074338"
8	"C1"	"SM0805"	1	"2u2"	"Y"	"MULTICOMP"	"MCCA00059"	"Farnell"	"1759473"
9	"C10,C9"	"SM0805"	2	"12p"	"Y"	"MULTICOMP"	"MCCA000319"	"Farnell"	"1759192"
10	"C8,C6,C4,C3,C2"	"SM0805"	5	"100n"	"Y"	"MULTICOMP"	"MCCA000274"	"Farnell"	"1759143"
11	"C5"	"SM0805"	1	"1uF"	"Y"	"MURATA"	"GRM21BF51C105ZA0"	"Farnell"	"1828851"
12	"X1"	"Q_49U3HMS"	1	"CRYSTAL_8MHz"	"Y"	"TXC"	"9C-8.000MEEJ-T"	"Farnell"	"1842347"
13	"D2"	"LED-0805"	1	"LED_GREEN"	"Y"	"KINGBRIGHT"	"KPT-2012SGC"	"Farnell"	"2099239"
14	"D1"	"LED-0805"	1	"LED_RED"	"Y"	"KINGBRIGHT"	"KPT-2012EC"	"Farnell"	"2099236"
15	"P3,P2,P1"	"CAP_BTN"	3	"CONN_1"	"N"				
16	"P9,P8,P7,P6"	"TESTPOINTx1"	4	"CONN_1"	"N"				
17	"D3"	"LED_RGB_SMT"	1	"LED_RGB_SMT"	"Y"	"CREE"	"CLV6A-FKB-CK1P1G1BB7R3R3"	"Farnell"	"1855526"
18	"L1"	"SM0805"	1	"FERRITE_BEAD"	"Y"	"FAIR-RITE "	"2508051217Y0"	"Farnell"	"6347060"
19	"K1"	"PIN_ARRAY_3X1"	1	"CONN_3"	"N"				
